gene,shift
Pcdha1,-176
Pcdha2,-164
Pcdha3,-177
Pcdha4,-179
Pcdha5,-204
Pcdha6,-170
Pcdha7,-172
Pcdha8,-177
Pcdha9,-187
Pcdha10,-151
Pcdga11,-196
Pcdha12,-158
Pcdhac1,-173
Pcdhac2,-235
Pcdhb1,-230
Pcdhb2,-198
Pcdhb3,-198
Pcdhb4,-233
Pcdhb5,-222
Pcdhb6,-222
Pcdhb7,-232
Pcdhb8,-183
Pcdhb9,-241
Pcdhb10,-222
Pcdhb11,-224
Pcdhb12,-240
Pcdhb13,-228
Pcdhb14,-230
Pcdhb15,-236
Pcdhb16,-238
Pcdhb17,-223
Pcdhb18,-205
Pcdhb19,-212
Pcdhb20,-198
Pcdhb21,-230
Pcdhb22,-187
Pcdhga1,-240
Pcdhga2,-242
Pcdhga3,-214
Pcdhgb1,-237
Pcdhga4,-211
Pcdhgb2,-186
Pcdhga5,-175
Pcdhga6,-219
Pcdhga7,-224
Pcdhgb4,-222
Pcdhga8,-216
Pcdhgb5,-222
Pcdhga9,-236
Pcdhgb6,-212
Pcdhga10,-236
Pcdhgb7,-230
Pcdhga11,-238
Pcdhgb8,-205
Pcdhga12,-202
Pcdhgc3,-210
Pcdhgc4,-186
Pcdhgc5,-219
